"","X.2","X.1","X","srvy","common_name","file_name","filter_lat_gt","filter_lat_lt","filter_depth","model_fn","model_family","model_anisotropy","model_spatiotemporal","effort","year","est","lwr","upr","log_est","se","type"
"33","33","33",NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_10","2014","2676151.72560338","413684.042323688","17312217.3584984","14.7998903972789","0.952585166545738","index"
"34","34","34",NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_10","2015","1267265.38292465","223188.71668845","7195531.99009125","14.0523718950849","0.886036148134643","index"
"35","35","35",NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_10","2016","3851296.0243363","646765.12699558","22933334.6031967","15.1639202793146","0.91031355900729","index"
"36","36","36",NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_10","2017","5396713.96777464","1333399.72277001","21842303.6638034","15.5013008018222","0.713308199332172","index"
"37","37","37",NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_10","2018","2976908.25723866","563945.01883455","15714267.306288","14.9063958223375","0.848833853105496","index"
"38","38","38",NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_10","2019","9438162.98940146","372694.167939452","239013454.669834","16.0602719206046","1.64888666775923","index"
"39","39","39",NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_10","2021","62516.0172890848","1102.23936976831","3545738.36217686","11.0431780795166","2.06028219462056","index"
"40","40","40",NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_10","2022","1119202.21371622","160113.100608178","7823304.84157335","13.9281266802766","0.992105453119839","index"
"41","41","41",NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_10","2023","1319668.92032018","136671.266856767","12742444.694569","14.0928914451632","1.15693842013219","index"
"42","42","42",NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_10","2024","5503320.75491948","912360.553301085","33195800.9604266","15.5208622416265","0.916890168054536","index"
"43","43",NA,NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_2","2003","11639731.5269448","1092355.8101494","124028589.183612","16.2699349353061","1.20720979481488","index"
"44","44",NA,NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_2","2004","258232.472363486","6917.74418102935","9639559.95450472","12.4616155138692","1.84685562201906","index"
"45","45",NA,NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_2","2005","24114752.1606155","4146314.93548796","140250145.205015","16.9983343340372","0.898283752939652","index"
"46","46",NA,NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_2","2006","4131998.69262124","397027.479181217","43003102.0296978","15.2342717928182","1.19518064461418","index"
"47","47",NA,NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_2","2007","932965.877705151","130022.323324223","6694429.90025378","13.7461239064974","1.00545851325188","index"
"48","48",NA,NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_2","2008","2478700.04622011","258687.516608777","23750484.753477","14.7232448058022","1.15301541810598","index"
"49","49",NA,NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_2","2009","2149341.81556174","293595.944783169","15734788.9921777","14.5806722209389","1.01568828461172","index"
"50","50",NA,NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_2","2010","3116053.97502958","501109.442626151","19376590.3200941","14.9520780077193","0.932414175754314","index"
"51","51",NA,NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_2","2011","42114366.2937677","8184422.09605469","216706790.963361","17.555899482575","0.835809399789332","index"
"52","52",NA,NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_2","2012","10575645.8165198","1770734.31851099","63162657.0215919","16.174064351152","0.91183280790772","index"
"53","53",NA,NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_2","2013","1447252.24393187","130797.651356829","16013583.0868377","14.1851773124198","1.22643608225661","index"
"54","54",NA,NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_2","2014","72224769.2308225","7971379.01665814","654393333.894246","18.0952936091688","1.12447247236402","index"
"55","55",NA,NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_2","2015","14301960.2814762","3142796.54331245","65084094.7143638","16.4759071684559","0.773118077679068","index"
"56","56",NA,NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_2","2016","142947318.053965","24671483.8144401","828241053.213903","18.7779867151293","0.896357328899182","index"
"57","57",NA,NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_2","2017","22544324.4010361","2398530.617105","211899134.859742","16.9309939027011","1.14319806661081","index"
"58","58",NA,NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_2","2018","1536719.29041596","332459.811222516","7103132.76318375","14.2451603711084","0.781078693238572","index"
"59","59",NA,NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_2","2019","27884081.0544942","2489567.21850622","312312104.077321","17.1435665124302","1.23264870476252","index"
"60","60",NA,NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_2","2021","30855805.603442","4207891.45849233","226260764.762819","17.2448354787286","1.01653053600045","index"
"61","61",NA,NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_2","2022","6551643.92420818","889429.046165719","48260216.2529515","15.6952265569162","1.01884093686615","index"
"62","62",NA,NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_2","2023","3033100.71647203","491966.043024485","18699867.7788932","14.925095993001","0.928043082678489","index"
"63","63",NA,NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_2","2024","3104138.48321181","536394.500914188","17963785.4350375","14.9482467737268","0.895741763152632","index"
"64",NA,NA,NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_3","2003","5968778.03995218","605514.387576932","58836440.5886045","15.6020527809932","1.16748021691626","index"
"65",NA,NA,NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_3","2004","705025.428121197","123711.143648768","4017914.95605843","13.465989149401","0.887916575365476","index"
"66",NA,NA,NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_3","2005","73827.9661402863","5992.16904552979","909615.290055515","11.2094928837974","1.28129096602599","index"
"67",NA,NA,NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_3","2006","190031.038236249","17246.5438623219","2093856.93628967","12.1549426969391","1.22429578772289","index"
"68",NA,NA,NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_3","2007","89004.1280010413","6798.89111722556","1165151.00251501","11.3964380296728","1.31222983845081","index"
"69",NA,NA,NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_3","2008","4534947.94515461","334863.430076687","61415344.340683","15.327324162999","1.32953775032596","index"
"70",NA,NA,NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_3","2009","90737.895427807","7080.02271320679","1162901.02449946","11.4157303595151","1.301400426167","index"
"71",NA,NA,NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_3","2010","544648.310726224","67450.2362511439","4397935.40933519","13.207895563929","1.06570846003477","index"
"72",NA,NA,NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_3","2011","939203.166257123","143584.095779871","6143456.08903483","13.7527870992781","0.958237466735003","index"
"73",NA,NA,NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_3","2012","1069791.80560537","185830.322498878","6158599.37146317","13.8829746133055","0.893070145877682","index"
"74",NA,NA,NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_3","2013","344864.46940184","38174.7738402931","3115447.46154545","12.7509067765172","1.12296786476553","index"
"75",NA,NA,NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_3","2014","9592512.71186212","1595607.92197776","57668490.3978055","16.07649342629","0.915184195499542","index"
"76",NA,NA,NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_3","2015","1168914.37126392","158556.241114164","8617515.13372158","13.9715859882109","1.01926431356899","index"
"77",NA,NA,NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_3","2016","640363.736942423","113868.700305051","3601215.38660149","13.369791632865","0.881133701739628","index"
"78",NA,NA,NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_3","2017","21064212.3524569","4644680.9573336","95528852.4885284","16.8630860614053","0.771367652998","index"
"79",NA,NA,NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_3","2018","2860237.29990336","540928.021080674","15123929.7890585","14.8664151513482","0.849696047181253","index"
"80",NA,NA,NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_3","2019","2600708.60478077","255255.841268586","26497670.7814644","14.7712945061596","1.18434466357782","index"
"81",NA,NA,NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_3","2021","48268.9534542103","7062.35865351822","329902.796200254","10.7845438473383","0.98063510396394","index"
"82",NA,NA,NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_3","2022","834714.875693805","80118.3712316429","8696493.86268777","13.6348454792852","1.19572861405043","index"
"83",NA,NA,NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_3","2023","243429.376715054","38333.7905354373","1545838.81792486","12.4025821454124","0.943127074974589","index"
"84",NA,NA,NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_3","2024","558244.594532814","43897.835554684","7099143.34926368","13.2325524867766","1.29743822487588","index"
